Question,Answer,Class
"Мы потеряли свой код регистрации, что нам делать?","Вы можете написать нам письмо на почту приемной кампании, с адреса, который указали при регистрации или обратиться к нашим сотрудниками через Telegram и предоставить информацию, которая позволит идентифицировать вашего ребенка (ФИО, дата рождения и адрес электронной почты, указанный при регистрации).",1
"Утерян код регистрации. Подскажите, что с этим делать?","Вы можете написать нам письмо на почту приемной кампании, с адреса, который указали при регистрации или обратиться к нашим сотрудниками через Telegram и предоставить информацию, которая позволит идентифицировать вашего ребенка (ФИО, дата рождения и адрес электронной почты, указанный при регистрации).",1
Где взять код регистрации?,"Вы можете написать нам письмо на почту приемной кампании, с адреса, который указали при регистрации или обратиться к нашим сотрудниками через Telegram и предоставить информацию, которая позволит идентифицировать вашего ребенка (ФИО, дата рождения и адрес электронной почты, указанный при регистрации).",1
Я забыл код регистрации. Как его восстановить?,"Вы можете написать нам письмо на почту приемной кампании, с адреса, который указали при регистрации или обратиться к нашим сотрудниками через Telegram и предоставить информацию, которая позволит идентифицировать вашего ребенка (ФИО, дата рождения и адрес электронной почты, указанный при регистрации).",1
Как восстановить код регистрации?,"Вы можете написать нам письмо на почту приемной кампании, с адреса, который указали при регистрации или обратиться к нашим сотрудниками через Telegram и предоставить информацию, которая позволит идентифицировать вашего ребенка (ФИО, дата рождения и адрес электронной почты, указанный при регистрации).",1
"При регистрации мы допустили ошибку, как нам поменять регистрационные данные?","Некоторые данные можно поменять через личный кабинет (БОТа Telegram). Также вы можете написать письмо на официальную почту приемной кампании pk@ftl.name или написать в Telegram нашим сотрудникам. Потребуется предоставить информацию, которая позволит идентифицировать вашего ребенка (ФИО, дата рождения и адрес электронной почты, указанный при регистрации).",1
При регистрации была допущена ошибка. Я хотел бы поменять регистрационные данные.,"Некоторые данные можно поменять через личный кабинет (БОТа Telegram). Также вы можете написать письмо на официальную почту приемной кампании pk@ftl.name или написать в Telegram нашим сотрудникам. Потребуется предоставить информацию, которая позволит идентифицировать вашего ребенка (ФИО, дата рождения и адрес электронной почты, указанный при регистрации).",1
"Нужно исправить даннные, что делать?","Некоторые данные можно поменять через личный кабинет (БОТа Telegram). Также вы можете написать письмо на официальную почту приемной кампании pk@ftl.name или написать в Telegram нашим сотрудникам. Потребуется предоставить информацию, которая позволит идентифицировать вашего ребенка (ФИО, дата рождения и адрес электронной почты, указанный при регистрации).",1
Я ошиблась в имени ребенка. Где можно его изменить?,"Некоторые данные можно поменять через личный кабинет (БОТа Telegram). Также вы можете написать письмо на официальную почту приемной кампании pk@ftl.name или написать в Telegram нашим сотрудникам. Потребуется предоставить информацию, которая позволит идентифицировать вашего ребенка (ФИО, дата рождения и адрес электронной почты, указанный при регистрации).",1
Как изменить регистрационные данные?,"Некоторые данные можно поменять через личный кабинет (БОТа Telegram). Также вы можете написать письмо на официальную почту приемной кампании pk@ftl.name или написать в Telegram нашим сотрудникам. Потребуется предоставить информацию, которая позволит идентифицировать вашего ребенка (ФИО, дата рождения и адрес электронной почты, указанный при регистрации).",1
"Что такое личный кабинет, зачем он нужен и где его искать?",Подробно про личный кабинет вы можете прочитать в соответствующем разделе.,2
Зачем нужен личный кабинет?,Подробно про личный кабинет вы можете прочитать в соответствующем разделе.,2
Как войти в личный кабинет?,Подробно про личный кабинет вы можете прочитать в соответствующем разделе.,2
Как попасть в личный кабинет?,Подробно про личный кабинет вы можете прочитать в соответствующем разделе.,2
Расскажите подробнее про личный кабинет.,Подробно про личный кабинет вы можете прочитать в соответствующем разделе.,2
Диплом призёра или победителя по физике очного этапа олимпиады «Физтех» влияет ли на поступление в 10 класс в Физтех-лицей?,"На поступление в 10 класс в Физтех-лицей влияет диплом заключительного этапа, который проводился 25 февраля 2018 года.",3
"Влияет ли диплом, полученный на очном этапе олимпиады ""Физтех"", на поступление в Физтех-лицей?","На поступление в 10 класс в Физтех-лицей влияет диплом заключительного этапа, который проводился 25 февраля 2018 года.",3
Как влияет олимпиада Физтех на поступление?,"На поступление в 10 класс в Физтех-лицей влияет диплом заключительного этапа, который проводился 25 февраля 2018 года.",3
Какие дипломы по физике защитывабтся вместо экзаменов в 10 класс?,"На поступление в 10 класс в Физтех-лицей влияет диплом заключительного этапа, который проводился 25 февраля 2018 года.",3
Что дает диплом призера или победителя олимпиады Физтех по физике?,"На поступление в 10 класс в Физтех-лицей влияет диплом заключительного этапа, который проводился 25 февраля 2018 года.",3
Будет ли в лицее день открытых дверей в ближайшее время?,Проведение дня открытых дверей в этом учебном году не планируется.,4
Намечается ли в Физтех-лицее день открытых дверей?,Проведение дня открытых дверей в этом учебном году не планируется.,4
Когда день открытых дверей?,Проведение дня открытых дверей в этом учебном году не планируется.,4
Когда будет день открытых дверей?,Проведение дня открытых дверей в этом учебном году не планируется.,4
"Подскажите, пожалуйста, какие данные должны содержаться в справке из школы для первого этапа. Нужна ли фотография в справке для первого этапа?","В справке должны быть указаны: ФИО учащегося (полностью), название образовательной организации с указанием населенного пункта, класса обучения, дата выдачи справки. Справка заверяется подписью ответственного лица и печатью. Фотография необходима для учащихся, не имеющих паспорта.",5
Какие данные должны быть в справке из школы для первого этапа? Нужна ли фотография ребенка?,"В справке должны быть указаны: ФИО учащегося (полностью), название образовательной организации с указанием населенного пункта, класса обучения, дата выдачи справки. Справка заверяется подписью ответственного лица и печатью. Фотография необходима для учащихся, не имеющих паспорта.",5
